domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
亲子/育儿,学前教育选择,大同,刺激,如果家长希望通过学前教育让孩子理解和欣赏世界多元化文化，以实现世界大同这一价值观，但同时也想让孩子在教育过程中寻求新奇和挑战，实现刺激的价值观，这两者可能会发生冲突,Alice和Bob是一对年轻的夫妻，他们有一个女儿即将到达学前教育的年龄。在他们居住的城市中，有多种不同类型的学前教育机构，从传统的幼儿园到更具创新和挑战性的教育项目。Alice和Bob为孩子的学前教育选择做决策，他们希望让孩子在学前阶段就培养出对世界的理解和欣赏，同时也希望孩子的生活充满挑战和刺激。然而，在选择具体学前教育机构时，他们的观点发生了分歧。,Alice，一位在非政府组织工作的女性，具有国际视野，希望女儿能够理解、欣赏、保护所有人类和自然,将女儿送入一所以全球视野和环保教育为宗旨的学前教育机构，这样可以让女儿从小就理解世界的多元化和保护环境的重要性。,Bob，一位在科技公司工作的男性，注重挑战和创新，希望女儿的生活充满新奇和挑战,将女儿送入一所以STEM（科学，技术，工程，数学）教育为主的学前教育机构，认为这样可以让女儿在日常生活中寻求新奇和挑战，提前培养科学素养，并通过实践活动获得刺激。,夫妻,3,1
亲子/育儿,学前教育选择,传统,成就,如果家长希望孩子能尊重和接受传统文化或信仰，实现传统的价值观，但同时也希望孩子能在学前教育中展现出优秀的学习成绩和成就，实现成就的价值观，这两者可能会发生冲突,John和Mary是一对刚结婚的年轻夫妇，他们有一个3岁的孩子即将上学前幼儿园。他们居住在一个多元文化的大城市中，周围有很多不同类型的幼儿园可以选择。这个决策对于两人来说极其重要，因为他们都认为早期教育对孩子的成长有重大影响。然而，他们在选择孩子的幼儿园时出现了分歧，主要是因为他们的价值观不同。,John，他是一个非常尊重传统价值观的人，他认为对于孩子的学前教育应该注重文化传承，挖掘孩子的传统文化根源对孩子的成长有着不可替代的作用,选择一个以传统文化教育为主的幼儿园，认为这样才能培养孩子对传统价值观的尊重和接受，提高孩子的道德素质。,Mary，她是一个强调个人成就、竞争和成功的人，她认为学前教育应该让孩子充分展现个人能力，注重个人发展和成就,对于孩子的学前教育更偏向于选择那些以培养孩子逻辑思维、语言、数学等能力为主的幼儿园，认为这些能力是孩子在未来社会竞争中取得成就的基础。,夫妻,3,2
亲子/育儿,学前教育选择,享乐主义,遵从,如果家长希望孩子在学前教育中能获得快乐和满足，实现享乐主义的价值观，但同时也希望孩子能遵守规则和纪律，实现遵从的价值观，这两者可能会发生冲突,孩子马上就要到上学前教育的年纪了，家长们正在犹豫要将孩子送入哪种类型的学前教育机构。他们希望找到一个可以培养孩子自主性、快乐学习的环境，同时也希望能有一定的规则和制度，以方便孩子适应未来的学校生活。这两种需求导致了家长们在选择学前教育时的分歧。,Lucy，一个充满活力和乐观的母亲，她希望孩子能在愉快、自由的环境中成长，认为快乐是孩子最需要的元素,将孩子送入一所注重游戏和实践的幼儿园，这种学前教育机构往往有更多的户外活动和游戏环节，更加注重孩子的快乐和体验，而不是传统的课堂学习。,Tom，一个严肃的父亲，他相信规矩和纪律对孩子的成长至关重要，希望孩子从小就能学会遵从和自律,选择一所注重纪律和规矩的幼儿园。认为这样更有助于孩子适应未来的学校生活，同时也能教会孩子守规矩的重要性。,夫妻,3,3
亲子/育儿,婴儿喂养方式,慈善,自我导向,在婴儿喂养方式这个决策的场景中，父母可能在慈善（为了孩子的福利尽力提供最好的）与自我导向（根据自己的需求和习惯制定喂养方式）之间发生冲突，例如是否选择母乳喂养或者人工喂养，是否按需喂养或者定时喂养等,新生儿来到了托比和艾米的家中，这对年轻的夫妇兴奋之余也感到了一丝压力。他们需要决定新生儿的喂养方式。托比认为母乳喂养最好，因为这是为孩子提供最自然、最健康的食物，可以增强孩子的免疫力，对孩子的成长有很大的帮助。而艾米则认为定期人工喂养更符合她的个人需要，她的工作压力大，需要充足的睡眠和时间去处理工作中的问题，定期人工喂养可以让她有充足的时间去休息和工作。,托比，一个对家庭生活充满热情的父亲。他是一个善良、忍耐的人，常常把别人的需求放在自己之前,认为应该采取母乳喂养，因为认为这是最符合孩子的需求，最能保证孩子的健康和成长。,艾米，一个职业女性，她热爱工作，并希望在保证孩子健康的同时，也能保持自己的独立和自我实现,认为应该采取定期人工喂养，这样既可以满足孩子的需求，又可以有充足的时间去工作和休息，维持自己的生活节奏。,夫妻,3,4
亲子/育儿,婴儿喂养方式,安全,大同,如果父母在喂养方式的决策中倾向于权力（坚持自己的观点和决策），他们可能会忽视大同（尊重所有人的观点，包括医生或其他家庭成员对喂养方式的建议）,新生儿Emma出生后，她的父母在婴儿喂养方式上产生了分歧。他们都希望Emma能健康快乐的成长，但在如何达到这个目标上，他们的观点却截然不同。父亲Adam坚信科学配方奶粉能提供Emma所需的所有营养，而母亲Betty则相信母乳喂养是让Emma得到最佳营养的唯一方式。,Adam，Emma的父亲，是一位科学家，相信科学与实证。他自信，且习惯于依靠实证数据来做决定,坚持使用配方奶粉喂养Emma，认为科学配方奶粉是根据严格的科学研究制定出来的，能更准确地满足Emma的营养需求。,Betty，Emma的母亲，她是一位深受人们尊重的护士，尊重每一个生命，并相信大自然给予的最原始的母乳喂养方式对Emma的成长最有益,坚持母乳喂养，认为母乳是大自然赋予的最自然的食物，能够提供Emma成长所需的所有营养，同时也能增强Emma的免疫力。,夫妻,3,5
亲子/育儿,婴儿喂养方式,享乐主义,安全,在选择婴儿喂养方式时，享乐主义（追求个人的快乐或感官上的满足）可能会与安全（保障婴儿的饮食安全和健康）产生冲突，比如父母可能会因自己的方便或习惯选择一些可能存在风险的喂养方式,柳青青和高大山刚刚迎来了他们的第一个孩子，这使他们都感觉无比开心。然而在决定婴儿的喂养方式上，他们产生了分歧。柳青青认为母乳喂养是最好的选择，因为这样可以增进和宝宝的亲子关系，并且每次喂奶后，她都会有一种为母则刚的成就感，这让她感到无比快乐。但是高大山却并不赞同，他担心柳青青的身体在临产后还没完全恢复，如果采用母乳喂养，可能会影响到柳青青的身体健康。他从安全角度出发，认为应该选择奶粉喂养。,柳青青，一个刚刚成为妈妈的女性，她对生活充满了热爱和期待，而在喂养孩子的问题上，她一直坚持自己的理念，认为母乳喂养是最好的,决定坚持母乳喂养，认为这样可以与宝宝建立更深的亲子关系，并且在每次喂奶的过程中，母亲都会有一种快乐的感觉。,高大山，一个体贴入微的男性，他一直将保护柳青青的健康作为他的首要任务。他认为喂养宝宝的方式应该从安全角度出发，选择最有保障的方案,坚决反对母乳喂养，认为如果柳青青的身体状况不佳，母乳喂养可能会带来安全问题。提议采取奶粉喂养，并准备了相关资料给柳青青参考。,夫妻,3,6
亲子/育儿,婴儿喂养方式,传统,刺激,在选择婴儿的喂养方式时，父母可能在传统（尊重传统的喂养方式，如纯母乳喂养）与刺激（希望尝试新的，可能更具挑战性的喂养方式，如搭配各种辅食）之间产生冲突,新生儿Lucy即将迎来满6个月的生日，这也意味着她将开始尝试辅食，这让她的父母Anna和Bill面临一个决策：应该如何选择婴儿的喂养方式。Anna希望坚持纯母乳喂养，并逐渐增加一些传统的亲手准备的辅食，比如稀饭、萝卜泥等；而Bill则认为应该尝试新的、营养均衡的婴儿食品，既方便又可以让Lucy尝试到各种口味，以满足他的新奇和挑战性的需求。,Anna，是一个对母权传统和亲子关系非常尊重的母亲，愿意为此付出大量时间和精力,决定坚持纯母乳喂养，直到Lucy满6个月，并逐渐增加一些亲手做的辅食，例如稀饭、蒸蛋等，以确保Lucy的营养。,Bill，Lucy的父亲，是一个开放、喜欢接受新事物和挑战的人，他相信新的婴儿食品可以给Lucy带来更丰富的营养和口感,认为应该给Lucy尝试各种新的、营养均衡的婴儿食品，这既可以节省Anna准备辅食的时间，也可以让Lucy尝试更多口味的食物。,夫妻,3,7
亲子/育儿,孩子的纪律方法,慈善,遵从,在亲子/育儿这个领域中，父母可能会面临如何平衡对孩子的慈善情感和实施规则以保持纪律的冲突,儿子Tom最近放学后经常玩电脑游戏，导致作业完成的时间越来越晚，甚至忘记了完成。这使得父母需要决定是否需要对Tom进行纪律性的教育，以防止他继续沉迷于电脑游戏，影响学习。决策的目的是希望Tom能平衡游戏和学习，不再因为玩游戏而忘记或者疏忽作业。然而，他们对于实施什么样的纪律方法有分歧。,父亲John，一个温暖和充满爱心的人，常常尽全力去理解和支持他的儿子。他认为，沟通和理解是事情的解决之道,希望通过和儿子进行深入的对话，理解他为什么会沉迷于游戏，以及他为什么会忘记完成作业。然后一起寻找解决方法，比如设定游戏和作业的时间。希望这样能改善儿子的行为，而不是简单的禁止他玩游戏。,母亲Linda，一位规则和纪律严格的女性。她相信遵守规则和纪律会帮助人更好的生活,觉得应该设定一个明确的规则，禁止Tom在完成作业之前玩电脑游戏。如果Tom不能遵守这个规则，那么他就应该被禁止玩电脑一段时间，以此惩罚他的行为。,夫妻,3,8
亲子/育儿,孩子的纪律方法,安全,刺激,在决定孩子的纪律方法上，父母可能想要保护孩子免于伤害及风险（安全），但同时又希望孩子能有足够的自由去探索、尝试新事物（刺激）,夏日的午后，5岁的小宝贝Emma带着新买的滑板玩具，即兴起兴趣想在附近的社区公园内学习滑板。而Emma的爸妈面对这个决定产生了分歧，一方面他们希望Emma能够安全地成长，另一方面他们也希望Emma能够积极地去尝试新的事物，享受生活。,父亲Jack，一位细心且谨慎的医生,认为滑板运动对于Emma来说存在着一定的危险性。决定向Emma解释滑板运动可能带来的伤害，并建议Emma在他们的陪同下，在家中的安全空地进行滑板学习，直到熟练掌握后再去公园滑板。,母亲Lily，一位喜欢尝试新事物且充满冒险精神的记者,认为学习滑板对于Emma来说是一种新的尝试和体验，能增加她的生活乐趣和挑战性，也能锻炼她的身体协调能力。因此，向Emma提议，穿戴好保护装备后，其实在公园学习滑板是可以的。,夫妻,3,9
亲子/育儿,孩子的纪律方法,权力,享乐主义,父母可能希望孩子能遵守规则，有更好的行为和成绩（成就），但同时也希望孩子能够快乐成长，享受生活（享乐主义）,John和Lily的儿子Tom最近在学校表现不佳，经常不按时完成作业，并且在学校的表现也被老师反复提起。John和Lily正在考虑是否应该对Tom进行些许的惩罚，以提醒他重视学业。然而，两人对于如何处理这个问题产生了分歧。,John，一个认真且有责任心的父亲，他非常重视学业并希望孩子能在学校有出色的表现,决定要对Tom施加些许的惩罚，例如暂时取消他的游戏时间，以此来提醒他认真对待学业。,Lily，一个温柔且善解人意的母亲，她非常注重Tom的情感体验，并希望他能快乐成长,不赞同John的决策，认为这样做会让Tom感到压力和不快乐，更倾向于通过谈话和引导的方式来让Tom认识到自己的错误，并鼓励他投入到学习中来。,夫妻,3,10
