domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
家庭,家庭财务计划构建,权力,大同,在家庭财务计划构建过程中，家庭主导者可能会倾向于掌握更多的资源和决策权（权力），然而，这可能会与考虑到所有家庭成员福利的崇高理念（大同）产生冲突,家庭中的James和Linda正面临着如何进行家庭财务计划构建的决策。他们需要决定如何分配家庭的总收入，分配比例包括家庭的日常开销，孩子的教育投入，家庭的储蓄和投资，以及应急基金等。这个决策的目的是保证家庭的经济安全和持续的财务增长。然而，对于如何分配这笔收入，James和Linda却有着不同的观点。,James，一位事业有成的投资银行家，对家庭财务有着丰富的知识和经验。由于工作的性质，James对于掌握和用好手中的资源有着极高的追求,认为应该把大部分资金用于投资，以此来增加家庭财富和稳固其社会地位。认为投资能够带来的高回报不仅能提供更好的生活条件，也能为家庭提供更多的安全保障。,Linda，一位全职家庭主妇，对家庭的需求和家庭成员的感受非常敏感，她希望家庭的每一个成员都能得到公平和满足,认为应该把更多的资金用于满足每个家庭成员的需求，如公平分配给孩子的教育投入，以及满足家庭成员的日常生活需要。对于只重视财务增长而忽视了家庭成员的需求感到不满。,夫妻,3,1
家庭,家庭财务计划构建,享乐主义,安全,对于追求个人快乐或感官满足（享乐主义）的家庭成员，他们可能会倾向于在财务计划中为娱乐活动或奢侈品预留更多的资源，而这可能会与旨在确保家庭安全的长期稳定性（安全）的理财计划产生冲突,艾伦夫妇最近因为家庭财务计划的问题产生了分歧。随着他们的儿子小杰即将进入小学，生活费用的压力在加大，这让他们决定重新构建财务计划以应对未来的挑战。但是，在如何分配财务预算这个问题上，他们的想法截然不同。财务预算的规划对于他们来说是一项重要的决策，这关系到家庭的生活质量和未来的发展规划。,艾伦，是一名年轻的互联网公司工程师，工作压力大，热爱生活，喜欢享受生活中的小乐趣，从购买新科技产品、参加户外运动、到家庭聚餐等方面都希望能够得到快乐,认为在家庭财务计划中应当预留一部分资金用于娱乐活动和购买新科技产品，认为这些是在工作中得到放松的方式，也是提升家庭幸福感的重要因素。,琳达，艾伦的妻子，是一名教师，对生活很有规划，注重家庭的安全和稳定,认为家庭财务计划应以稳定的生活支出和儿子的教育费用为主，在有钱赚但还没赚到的阶段就应该克制消费，把更多的资源预留给可能会发生的突发情况，以确保家庭的安全和稳定。,夫妻,3,2
家庭,家庭财务计划构建,自我导向,遵从,对于寻求独立思考和行动（自我导向）的家庭成员，他们可能希望在财务计划中保留一定的自由度，以满足自我实现的需要，这可能与对社会期望和行为规范的遵从（遵从）产生冲突，因为社会期望可能强调节约和规划,家庭财务计划构建是一个重要的决策过程，它涉及到家庭的经济状况、生活方式以及未来的规划。两夫妻在如何分配家庭收入，是否为旅行储蓄，以及孩子教育资金的问题上发生了分歧。决策的目的是希望充分利用家庭收入，实现家庭成员的愿望，同时也要确保家庭的经济安全。,Alex，Alex是一位独立的建筑师，坚信自由思考和自我探索的重要性。他时刻关注社会新潮流，喜欢探索新的思维方式和生活方式,认为家庭财务计划应该留有一定的自由度，无论是支出预算还是储蓄计划，都应该有一定的弹性。希望有一部分资金用于旅行和艺术创作，这是一种自我表达和提升的方式。,Lisa，Lisa是一位公务员，她的工作规规矩矩，强调严谨和遵守规定。她认为生活的稳定和安全是最重要的，应该严格按照社会的期望和规范来进行家庭财务规划,坚持每月要存入一定比例的收入作为未来子女的教育基金，并应该有严格的日常生活预算，以保持家庭经济的稳定。,夫妻,2,3
家庭,家庭财务计划构建,成就,传统,在财务计划构建中，一方面，家庭成员可能会追求更高的经济成就（成就），希望通过投资等方式提高财务收入,家庭的经济状况达到了稳定，也留下了一些积蓄。决策的目的是如何合理地对财务进行计划，使得家庭的经济状况能得到进一步的提升。分歧在于家庭成员关于如何使用这笔积蓄的观念出现了不同。,John，一直以来都是家庭的经济支柱，他是一个典型的工作狂，非常注重个人的职业发展和财务收入,认为应该将这笔积蓄用于投资，例如股票、基金或者创业，以期望获得高额的回报。,Mary，是一个非常传统的女性，她对金钱的观念比较保守，认为积蓄应该用于应对生活中的突发情况或者用于子女的教育等长期需求,认为应该将这笔积蓄存入银行或购买保险，以保障家庭的长期稳定和安全。,夫妻,3,4
家庭,家庭财务计划构建,刺激,慈善,追求刺激和新奇的家庭成员可能更愿意对新的投资机会或高风险财务策略进行尝试（刺激），而这可能与那些倾向于用资源帮助他人或进行慈善活动的价值观（慈善）产生冲突,家庭财务计划构建场景，John和Mary面临一个决定：家庭的部分储蓄应该用于高风险的股票投资，还是捐赠给一个贫困地区的儿童教育慈善组织。这个决策的目的是把家庭的一部分储蓄用在最有价值的地方。然而，John和Mary在此问题上出现了分歧。,John，一个喜欢冒险和追求刺激的人。他总是喜欢寻找新奇的事物，对股票市场持有强烈的兴趣,想要将部分家庭储蓄投资到股票市场中，追求经济上的刺激和回报，认为这样可以为家庭带来更多的财富。,Mary，一个心地善良，关爱他人的人。她经常为那些在生活中遇到困难的人提供帮助，深感儿童教育的重要性,想要将这部分家庭储蓄捐赠给一个贫困地区的儿童教育慈善组织，帮助这些孩子们获得更好的教育机会。,夫妻,3,5
家庭,家庭饮食安排,大同,享乐主义,如果家庭决定实施更环保的饮食安排，例如减少肉类摄入，转向植物性食品，这可能会促进'大同'价值观，因为这样可以减少对环境的压力和影响,史密斯一家决定重新调整家庭的饮食安排，以实现更健康和环保的生活方式。由于最近的全球气候变化和环境问题，他们认为减少肉类摄入，转向植物性食品是对自然和人类的贡献。然而，这个决定在家中引发了分歧，因为家中的每个人对食物的喜好和理解不同。,玛丽，史密斯夫人，一个热心环保和营养健康的妈妈,决定减少家庭菜谱中的肉类和乳制品，更多的使用蔬菜和全谷物，认为这样可以降低全家的碳排放并且有益于家人的健康。,约瑟夫，史密斯先生，一个享受生活的美食家,非常反对这个决定，认为美食是生活中的一大乐趣。认为饮食首要是满足口感和心情，并不需要过分考虑其对环境的影响。他坚持每周都需要有一些大餐，包括牛排、烤鸡等。,夫妻,3,6
家庭,家庭饮食安排,成就,传统,在饮食安排上，如果有家庭成员希望通过制定并坚持实施健康的饮食计划来体现自己的'成就'价值，但这可能与那些习惯于传统饮食的家庭成员产生冲突，例如一些人可能认为必须吃肉才能体现家庭的传统,在家庭饮食安排的过程中，所有的家庭成员正在决定如何制定一份公平且合理的饮食计划。这份饮食计划需要满足所有家庭成员的需求，但同时也需要注意健康饮食的重要性。然而，因为对于饮食的不同理解和期待，家庭成员们在如何制定这个饮食计划上产生了分歧。,张小华，这是一个非常注重健康的宅男，同时也是个棋类比赛的冠军。他相信健康的饮食和精神状态是他取得比赛胜利的关键,决定制定一份面向全家的健康饮食计划，包括每天摄取足够的蔬菜和水果，同时减少油腻和高热量食物的摄取。,张大妈，是张小华的母亲，一位典型的中国大妈，非常重视传统的饮食文化，她觉得中国的饮食文化是世界上最丰富、最美味的，不能丧失,不希望完全按照饮食计划来，认为正常的中国饮食并没有那么不健康，一些中草药炖肉、红烧肉等传统菜肴既美味又有营养，应该偶尔享用。,母子,3,7
家庭,家庭饮食安排,慈善,遵从,如果家庭中的一员希望自行决定自己的饮食（例如选择素食），这可能体现了他们的'自我导向'价值观，然而，如果家庭有共享饮食的传统或规定，那么这可能与遵循和服从这些传统或规定的'遵从'价值观产生冲突,家庭中的每周饮食计划已经成为了一个争议。许多年来，这个家庭都以明星厨房的菜谱为每周的饮食指南，包括丰盛的烧烤、炖肉和奶酪焗菜等。然而，最近角色R1开始追求健康生活，希望改变饮食习惯，吸引其他家庭成员也做出改变。这个决策带来了分歧，因为角色R2更喜欢遵循传统的饮食习惯，因为这是他们一直以来的家庭传统。,Emily，一个对自己的生活方式有强烈愿望的女性。她是一名瑜伽教练，鼓吹健康饮食和生活方式,决定提出新的饮食计划，包括大量的蔬菜、水果、全麦食品、低脂肪食品等。希望这样能帮助家庭成员更加健康。,Tom，他对家庭传统有深厚的情感，包括他们每周的家庭菜谱。他是家里的主厨，喜欢按照传统菜谱烹饪,对新饮食计划感到冒犯，认为这背离了他们的家庭传统。决定坚持原始饮食计划，不愿意改变。,夫妻,3,8
家庭,家庭饮食安排,慈善,权力,在一些家庭中，可能会存在一种'权力'价值观，即家庭的决定权在父母或某一位家庭成员手中，包括饮食的选择,家庭中的三代人共同居住，大多数的饮食安排均由家中的母亲决定，即使是一路赶来照顾孩子的奶奶也没有发言权。然而，最近，奶奶发现了一家新开的食材店，里面的新鲜食材对最小的孩子（即她的孙子）固然是好的，但店家的价格偏高，需要多开销不小的一笔。而孩子的母亲认为家中的经济压力较大，更重视省钱，而并非孩子的饮食质量。这导致了他们在孩子饮食的问题上有了分歧。,奶奶Emily，一位慈祥的老人，对孙子非常的照顾和关心，乐于花费更多的钱来购买更好的食材,决定不顾家中的经济问题，每天都去新开的食材店购买新鲜的食材，确保孙子能够健康营养的成长。,母亲Mary，一个务实且有些严格的人，强调节约，担心家庭开销过大。她希望家中的一切都在她的控制之下,坚决反对Emily的行动，认为这会加重家庭的经济压力。决定取代Emily，自己负责买菜和做饭，以确保家庭的开销在自己的控制下。,母女,3,9
家庭,家庭饮食安排,安全,刺激,对食品安全的关注可能反映了'安全'价值观，而对于新奇食品的尝试则可能反映出'刺激'价值观,杰克和艾玛是一对有一子一女的夫妻。杰克是出了名的厨艺好手，每一次的家庭聚餐都是他亲自下厨。近来，市场上新出了一种被称为“未来肉”的商品，它是由植物提取的蛋白质制成，口感和营养成份都能与真正的肉类媲美，甚至更佳。有一次家庭聚餐，杰克考虑是否尝试用这种“未来肉”做菜，这引发了他和艾玛的分歧。,杰克，杰克是一位注重健康的父亲，他平时很注重家庭饮食安排，对于任何新的食品，他总会先进行详细的调查和了解，再决定是否尝试,选择不尝试“未来肉”，认为这是一种新的食品，其长期的健康影响还不清楚，更倾向于坚持使用传统、经过长期验证的食材。,艾玛，艾玛是一个积极的妈妈，总是喜欢尝试新的事物，尽管她同样重视家庭饮食安排，但她有时候也愿意尝试一些创新的食品,建议杰克尝试使用“未来肉”，认为这是一次有趣的尝试，也许这种新的食品能带来不一样的口感，甚至可能是更健康的选择。,夫妻,3,10
