domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
社交/友谊/社会关系,选择朋友,权力,慈善,当在选择朋友时，如果一个人有很高的社会地位和影响力（权力），但他可能不太关心他人的福利（慈善），这会导致这两种价值观的冲突,公司刚刚经历了一场大的重组，留下来的员工都在寻找新朋友以寻求新的合作机会。这个决策需要考虑到与谁建立新的工作关系、新的朋友当中谁能帮助实现自己的个人目标和职业目标等因素。同时，这个决策也引发了两种不同的价值观之间的冲突。,杰夫，他是一位有经验的高级经理，总是有远大的抱负和对权力的追求。他的社交策略往往是建立在谁能帮助他提升社会地位和增加他的影响力上的,选择和公司新的副总裁成为朋友，因为认为新的副总裁有能力帮助提升自己的社会地位和影响力。,莉莉，她是一位团队主管，总是关心她的团队成员的福利，并愿意为了团队的利益牺牲自己的利益。她的社交策略往往是基于对他人的关心和帮助之上的,选择与一个新的团队成员成为朋友，这个新成员刚刚从大学毕业，没有什么工作经验，希望能帮助他更好地适应工作环境。,同事,1,1
社交/友谊/社会关系,选择朋友,自我导向,遵从,如果一个人更倾向于独立思考和自由选择（自我导向），他可能会违背社会或家庭的期待（遵从），这同样可能导致价值观的冲突,一位在大公司工作的女性，她正考虑是否应该与公司的一位高层发展友谊。她希望能通过这样的交往，更好地了解和参与公司的决策，从而提升自己的业务水平。但同时，她的一些朋友和家人认为，这样的行为可能会引起其他同事的嫉妒和误会，甚至可能会影响到她的职业形象。,夏洛特，一位追求创新和独立思考的职业女性，她信奉自我导向的价值观，认为应该通过自己的努力去获取更多的机会和成长，而不是完全遵从社会或他人的期待,考虑到发展这样的朋友关系的好处和自己的职业发展，决定接受公司高层的邀请，开始尝试更深入的交流和交往。,莉莉，夏洛特的好朋友，是一位尊重传统，比较遵从社会规范的人。她认为人们的行为应该符合社会期望，避免引发不必要的麻烦和误解,建议夏洛特应该考虑一下别人的想法和期待，因此，建议夏洛特应该避免与公司高层过于亲近，以免引发不必要的是非和误解。,朋友,3,2
社交/友谊/社会关系,选择朋友,享乐主义,慈善,在选择朋友时，如果一个人只追求个人的快乐和感官享受（享乐主义），而忽视了他人的感受和需要（责任），这可能会引发两者之间的价值观冲突,在大学开学的季节，两位新入学的同学Alice和Bob面临着如何选择新朋友这个问题。他们生活在同一寝室，却对选择朋友的观念存在着不同，Alice注重个人的快乐和感官享受，而Bob则认为应以帮助他人和关怀他人福利为主。,Alice，来自繁华的城市，性格开朗热情，热爱生活，乐观积极，善于享受生活,选择了和她有相同兴趣爱好，能一起享受生活、寻找快乐的朋友。认为大学生活应该是色彩斑斓的，应该追求快乐，享受每一刻。,Bob，来自小城镇，内向踏实，善良有爱心，乐于帮助他人，认为友情应是互帮互助，共同成长的,选择那些需要帮助，或者自己能帮助的朋友，认为友情应该是以互助为主，而不仅仅是追求个人的快乐。,室友,1,3
社交/友谊/社会关系,选择朋友,成就,大同,如果一个人过于追求个人成功和能力（成就），可能会忽视对所有人类和自然的理解、欣赏、忍耐和保护（大同），导致价值观的冲突,在一所大学里，学生马克和李华是好朋友。他们在同一所大学里学习，刚刚加入了一个社团，面临选择朋友的决定。马克和李华都有着自己的目标和抱负，但他们的价值观不同，马克更看重个人成功和社会地位，而李华则更看重理解、欣赏和保护所有人和自然的福祉。因此，他们在选择新朋友时产生了分歧。,马克，一名充满野心的商学院学生，他希望在大学里获得能够提升自己社会地位和声望的友谊。马克是个成就型的人，他的目标是成为一名成功的商人,在选择新朋友时，优先考虑那些能够帮助他实现自己目标的人，或是那些在社会地位、财富和权威上有所成就的人。认为这样的朋友会给他带来更多的机会，让自己更接近自己的目标。,李华，一个热情开朗，对世界充满好奇的学生。他对社会公正、心胸开阔、世界和平等价值观有着深厚的理解与热爱，他的目标是促进一个更公正、更和平的世界,在选择新朋友时，不太注重他们的社会地位和财富，反而更看重他们是否能够理解、欣赏和保护所有人和自然。认为真正的朋友应该是能够和他共享价值观，共同努力实现一个更好世界的人。,朋友,1,4
社交/友谊/社会关系,选择朋友,刺激,安全,如果一个人追求生活的刺激和新奇（刺激），他可能会忽视自我和社会的稳定需求（安全），产生价值观冲突,两位大学生，周末有一个聚会的邀请。这个聚会是他们的同学组织，面临的问题就是要不要去这个聚会。聚会的目的是为了让同学们更好的联系感情，但是这个聚会恰好在旁边城市的一家夜店举行，需要大家晚上出行，而且参加者都是对方并不熟悉的人。这个决策带来的分歧是一个人认为这是一个新鲜有趣的体验，另一人则认为这个场合并不安全。,张洋，热爱社交活动，喜欢尝试新鲜事物，不拒绝冒险,认为这是一个不错的机会，可以结识更多的朋友，体验新的生活，所以决定参加。,王涵，谨慎小心，注重个人和他人的安全，喜欢稳定的生活环境,认为这个聚会的环境可能会存在风险，而且参加的人也不熟悉，因此决定不去。,室友,1,5
社交/友谊/社会关系,网络社交选择,权力,慈善,在网络社交选择的场景中，你可能想要维护你的社会地位与声望，但为此你可能会忽视关注和提高那些你熟识的人们的幸福,在这个数字化的世界，网络社交已经成为了人们生活中的重要组成部分。人们通过各种社交平台上建立和维系社交关系。两个在职场打拼的好友，玛丽和萨拉，面临选择是否参与一个名声很大的但存在争议的在线社交平台。玛丽认为加入这个平台有利于提升她的社会地位和声望，而萨拉则更关心这个决定是否会影响她对亲朋好友的关爱和她的诚实原则。,玛丽，是个对自我价值和社会地位非常看重的人，她总是追求成功并且喜欢有权力感,选择加入这个在线社交平台，相信这能够帮助她扩大社交圈子，提高自己的社会地位和声望。,萨拉，是个善良和温暖的人，她总是把亲朋好友放在首位，喜欢帮助他人,选择不加入这个在线社交平台，担心这个决定会让她在亲朋好友面前失去诚实，而且觉得人与人之间的真实互动不能被替代。,朋友,1,6
社交/友谊/社会关系,网络社交选择,成就,大同,在这个场景中，你可能会试图通过竞争以达到个人成功，但这也可能会威胁到所有人类和自然的福利,在社交网络平台上，一款新的小游戏热度飙升，不仅可以增加用户的社交活跃度，还可以在游戏中获得优胜，从而提升个人的社交地位和声望。然而，这款游戏存在竞争性，需要花费大量的时间和精力，甚至会导致玩家忽视现实生活中的亲朋好友。,Peter，一个内向却有强烈的竞争心态的年轻人，对提升自己在社交网络上的地位和声望有着极高的追求,决定投入大量时间和精力来玩这款游戏，以便提升在社交平台上的地位和声望。,Lily，一个热爱自然并尊重所有生命的女性，主张和平共处，致力于保护环境。她认为人与人之间的交往应以理解、欣赏、忍耐和保护为主,抵制这款游戏，认为应该鼓励在现实生活中与人亲近交往，而不是通过网络游戏来提升社交地位，决定尽可能去影响更多的人，推广她的想法。,恋人,1,7
社交/友谊/社会关系,网络社交选择,享乐主义,自我导向,你可能会为了追求个人的快乐或感官上的满足，而放弃了思想和行为的独立,在一个蓬勃发展的社交网络app上，有一个新功能，允许用户分享他们的生活片段。分享的内容可被所有用户看到和点赞。它也有一个排行榜功能，展示收到最多点赞的分享。由于这个新功能的推出，造成了人们对是否使用这个功能进行分享的分歧，有的人希望通过分享获取他人的认同和乐趣，而有的人则保持独立思考，担心过度分享自己的生活会失去隐私。,Lucas，是一个喜欢追求快乐和感官满足的人，他对新鲜事物总是充满好奇，喜欢在社交软件上分享生活，享受别人对他的赞美和认同,决定积极使用这个新功能，分享他的生活片段，获取他人的点赞和评论，以满足自己对快乐和感官满足的追求。,Lily，是一个坚持独立思考和行为的人，她觉得每个人的生活都应该有私密性，过度分享自己的生活会失去隐私，对社交网络有自己的一套行为准则和原则,选择不使用，认为即使能够获得他人的赞美和认同，也不能将生活过于公开，需要保持自己的生活方式和价值观。,恋人,1,8
社交/友谊/社会关系,网络社交选择,刺激,安全,在网络社交选择的场景中，你可能想要寻求生活中的刺激和新奇，但这可能会威胁到你的安全和和谐,一款新的网络社交软件上线了，它的新颖玩法和独特社交功能吸引了大批用户，同时也引发了一些安全隐私的争议。作为两位重度社交软件用户，玛丽和约翰面临着是改用这款新的社交软件还是坚持使用他们长期使用的社交软件的选择。他们的决策目的是找到一款能让他们满足社交需求同时又能保护他们个人隐私的社交软件，但在这个过程中，他们发现他们的价值观有所不同，这导致他们在选择新的社交软件上产生了分歧。,玛丽，年轻、活泼，喜欢探索新鲜事物和接受新的挑战。玛丽是一个非常喜欢尝试新事物的人，她很享受在新鲜事物中获得的刺激感,决定尝试这款新的社交软件，认为这是一个充满乐趣和刺激的尝试，而且相信新的社交软件会带给她独特的社交体验。,约翰，稳重、谨慎，注重个人隐私和信息安全。约翰是一个风险规避者，他更偏向于坚持使用他习惯的社交软件，因为他非常注重自己的隐私和安全,选择坚持使用他原来的社交软件，尽管这款软件可能在功能和体验上不如新的社交软件，但更重视自己的安全和隐私，认为未知的新软件可能会带来未知的风险。,朋友,1,9
社交/友谊/社会关系,社区参与,大同,遵从,在社交/友谊/社会关系这个领域中，如果一个人过于注重大同，那么他可能会忽视自己的社会地位和对他人以及资源的控制，反过来，如果一个人过于注重权力，那么他可能就不能为了所有人类和自然的福祉而理解、欣赏、忍耐、保护,这个社区在面临重大的决策——是否需要扩建一个新的社区活动中心。扩建新的活动中心可以更好地服务于社区内的老年人和孩子，提供更多的娱乐和学习设施。然而，这个决策可能会扰乱社区的环境和安静，导致资源分配的改变，这就引发了社区居民们的分歧。,Alice，她是一个热心的社区居民和优秀的社工，她总是为社区的福祉着想。她主张环境保护，把社区的和谐当作自己的主要任务,认为扩建活动中心可以让更多社区居民受益，尤其是老年人和孩子们。提出希望活动中心能环保建设，尽量减少对社区环境的破坏。,Bob，他是社区的资深居民，也是社区管理委员会的主席。他有一定的社会地位和声望，对社区资源的控制和管理有着重要作用,担心扩建活动中心会改变资源分配，影响社区的稳定。认为应该优先保证社区的安全和宁静，而不是简单地提高服务水平。,恋人,3,10
