domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id,
婚姻/夫妻/恋爱/亲密关系,子女数量决定,享乐主义,自我导向,享乐主义可能让人追求愉快、享受生活，包括享受孩子带来的快乐，而自我导向可能要求更多的个人独立和自由，包括追求个人的目标和生活方式，养育子女可能会限制这种自由,艾米和汤姆已经结婚五年了，他们一直在关注子女数量的问题。他们在这个决定中遭遇了分歧。艾米相信孩子带来了快乐和满足，她愿意照顾更多的孩子。然而，汤姆坚信他们应该专注于自己的职业发展和个人兴趣，因为孩子会分散他们的注意力。,艾米，她是家庭的焦点，温和、善良、爱儿童,认为他们应该有更多的孩子，因为孩子能带来快乐与满足，丰富他们的家庭生活。,汤姆，他的职业是一名研究员，他非常享受他的工作，并且希望有足够的时间去追求他的个人兴趣，例如阅读和旅行,暂时不要更多的孩子，这样能有更多的时间和精力去投入到工作和个人兴趣上。,夫妻,3,1,
婚姻/夫妻/恋爱/亲密关系,子女数量决定,成就,遵从,追求成就可能包括希望通过拥有更多的子女来显示个人能力和社会地位，而遵从可能要求对社会期望（如适宜的子女数量）进行服从和自我限制,一对年轻的夫妻已经有了一个孩子，他们在面临是否应该再生一个孩子的决策。夫妻二人都有稳定的工作，经济条件也不错。但是他们对于是否要增加家庭成员的看法存在分歧。,杰克，他是一位公司的中层管理人员，主管一个小团队。他是一个典型的工作狂，总是想通过自己的努力给家人提供更好的生活。他认为孩子是他工作努力的动力，同时也是对他个人成功的验证,觉得再生一个孩子是自己的责任和他成功的象征，坚决支持再生一个孩子。,艾玛，她是一家初创公司的设计师，工作同样忙碌。她鼓励和尊重社会的期望，认为精心抚养和教育一个孩子更为重要,认为现在社会普遍认为一个孩子是比较理想的家庭结构，因此坚决反对再生一个孩子，希望能够全力投入到现有孩子的教育和成长中。,夫妻,3,2,
婚姻/夫妻/恋爱/亲密关系,子女数量决定,权力,大同,权力价值观可能让人希望通过拥有更多的子女来提升社会地位和影响别人，但如果考虑到全球人口和资源的压力，“大同”价值观可能会提倡减少子女的数量,夫妻两人，Rachel和Robert现居住在城市，他们都有稳定的工作和收入，最近因为生活稳定下来，他们开始考虑要孩子的问题，对于子女的数量产生了分歧。,Robert，是一位充满野心的律师。长期以来，他都向往拥有一个大家庭，认为子女多，人气旺，可以提升他在社会上的地位和声誉,希望能生三个甚至更多的孩子，认为这样可以让自己在社区中获得更多的尊重和权力。,Rachel，是一位环保组织的工作人员，她一直关注全球环境问题和资源压力，因此对人口控制有深刻的认识。她希望自己的生活方式能符合环保理念，减少对地球的压力,希望只生一个孩子，认为这既可以给孩子提供足够的爱，又可以减少对地球资源的压力。,夫妻,3,3,
婚姻/夫妻/恋爱/亲密关系,子女数量决定,刺激,安全,追求刺激的人可能希望有更多的子女来让生活更加丰富和有趣，而追求安全的人可能会为了保持生活的稳定和安全，选择有较少的子女,Alex和Jenny是一对已经结婚两年的夫妻，他们都有稳定的工作，目前的生活状况相当不错。最近他们开始面临一个重要的决策——他们应该有多少个孩子。Alex希望他们可以有多个孩子，他认为这样的家庭生活会更加充满乐趣和挑战，但Jenny则觉得少数孩子可以保障他们现有的生活稳定，并可以提供更好的教育和照顾。,Alex，他是一个活力四溢的人，总是享受着新的挑战和乐趣,认为他们应该有至少3个孩子，认为多个孩子会让家庭生活更加有趣和富有挑战性。,Jenny，她是一个谨慎和善于规划的人，她认为稳定和安全的生活对他们来说更为重要,认为应该只有一个孩子，这样可以将更多的精力和资源投入到孩子的教育和成长中。,夫妻,3,4,
婚姻/夫妻/恋爱/亲密关系,婚姻提议,大同,自我导向,如果一方在婚姻提议的过程中过于强调整体福祉或长远利益（大同），另一方可能觉得自己的个人需求、想法和目标（自我导向）被忽视,泰德和萝莉经过几年的恋爱，终于到了要谈论婚姻的时候。两人都在城市拥有稳定的工作，并且在一起的日子越来越长。在决定是否结婚的问题上，他们遇到了分歧。泰德想要结婚，他认为这对他们两人以及两个家庭都是最好的。而萝莉虽然也爱泰德，但她更关心的是自己的职业发展，她想要有更多的时间投入给自己的工作。,泰德，一个关心家庭和社会价值的年轻人，他总是以大局为重，相信结婚是他们应做的事,决定向萝莉求婚，觉得结婚可以把家庭紧密结合在一起，是对双方家庭的尊重和责任的体现。,萝莉，一个独立的女性，她非常重视自己的工作，希望通过努力工作来实现自己的生活目标和理想,拒绝泰德的求婚。认为现在是自己事业发展的重要时期，如果结婚可能会影响自己的工作和职业发展。希望泰德能理解并支持自己的决定。,恋人,3,5,
婚姻/夫妻/恋爱/亲密关系,婚姻提议,传统,刺激,一方可能倾向于按照传统的方式进行婚姻提议（传统），比如父母安排的婚姻，而另一方可能渴望寻求更多的新奇和刺激（刺激），如自由恋爱,乔治和艾米是一对恋人，他们正在商量未来的婚姻问题。乔治是一个保守的人，他希望能够按照传统的方式进行婚姻提议，例如家庭聚会时在大家的面前跪下求婚。而艾米，她是个对生活充满热情的人，她希望的求婚方式能充满惊喜和刺激，例如在热气球中，或者是在激流勇进的时刻。这就使得他们在婚姻提议的方式上产生了严重的分歧。,乔治，乔治是个传统的人，他认为婚姻应该尊重和维护传统的价值。他倾向于在一种庄重和正式的场合下，向艾米求婚,决定在家庭聚会时，向艾米提出婚姻提议。,艾米，艾米是一个热情、活跃、喜欢刺激的人。她希望自己的生活充满惊喜和新奇,希望乔治能找一种新奇、刺激的方式向自己求婚，比如在热气球上，或者在激流勇进的时刻。,恋人,3,6,
婚姻/夫妻/恋爱/亲密关系,婚姻提议,安全,享乐主义,在婚姻提议的过程中，一方可能希望保持稳定和安全（安全），而另一方可能更加关注个人的快乐和感官满足（享乐主义），这可能导致两者在决策时出现冲突,艾米和杰克已经交往了三年，近期，杰克打算向艾米求婚。然而，提出婚姻这个话题后，两个人对于婚姻生活的期待出现了巨大的分歧。艾米期望的是一个稳定的生活，而杰克则期望的是一个冒险和刺激的生活。,艾米，一个理性，稳重的女性，她的稳定工作和有规律的生活让她对未来有了明确的期待,认为婚姻应该带来稳定和安全感，希望在结婚后她们的生活可以有计划，有序，这包括稳定的工作和计划好的生活。希望能有一个稳定的家庭，而不是充满未知和冒险。,杰克，是一个充满活力和热情的男性，他热爱生活，喜欢探险和尝试新事物,婚姻应该带给自己更多的乐趣和快乐，希望在结婚后仍然可以保持现在的生活方式，频繁旅行，尝试新的事物。希望婚姻能够让生活更加有趣，而不是变得沉闷和平淡。,恋人,3,7,
婚姻/夫妻/恋爱/亲密关系,婚姻提议,成就,慈善,一方可能把婚姻看作是个人成功的一部分（成就），而另一方可能更看重在关系中提供帮助、支持与理解的重要性（慈善），这可能会导致二者在婚姻提议的决策中出现冲突,两人在一起已经有三年的时间，求婚的问题也悄悄上了日程。他们住在一个大城市，工作都相当忙碌。他们谈及婚姻，却发现彼此对此的期望有所不同。他们决定设定未来的目标并且向这个目标努力。,杰克，一个有抱负的年轻人，他是公司的市场总监并有着良好的发展前景。他的职业使他热衷于追求成功和成就，他认为结婚是人生成功的一部分，而且他希望通过结婚来提升他的社会地位,认为应该在稳定的生活基础上做出婚姻的决定。希望能够购买一套房子，并有一份稳定的高收入。决定延迟求婚直到觉得自己已经做好了充分的准备，即使这需要花费更长的时间。,艾米，一个充满爱心的年轻女性，她是一家非营利组织的工作人员。她对生活充满了热情，她的工作让她体验到了帮助他人的喜悦。她认为婚委是一种奉献和付出，而不仅仅是一种社会地位的象征,应该尽快结婚，认为爱情应该是无条件的，不需要任何的物质基础。提议不必等待所有的条件都具备，两人可以在结婚后一起努力实现。,恋人,3,8,
婚姻/夫妻/恋爱/亲密关系,婚礼计划,大同,权力,在婚礼计划中，如果新人希望为了所有人的福祉而安排一个简朴但包容所有人的婚礼（大同），这可能会与家庭或个人对于展示社会地位和声望的期望（权力）产生冲突,新婚夫妇Emily和James正在决策他们的婚礼计划。他们在婚礼的规模和气派上产生了分歧。Emily想要一个简朴的婚礼，而James期望在婚礼上能充分展示他们的社会地位和声望。,Emily，她是一位环保主义者，坚信人类行为应当以和谐共享为目标，而不是个人的奢侈和对资源的浪费,决定进行一个环保主题的婚礼，规模适度，人人都可参与，希望这个婚礼能够显现出对于自己价值观的尊重和实践。,James，他是一位成功的商人，能源行业的领军人物，他希望他的成功和地位能够得到社会的认可和尊重,决定把婚礼做成一个大型的社会活动，邀请名流巨贾，以此展示自己的地位和影响力。,夫妻,3,9,
婚姻/夫妻/恋爱/亲密关系,婚礼计划,传统,自我导向,如果一方希望遵循传统的婚礼习俗（传统），而另一方希望创新和独自设计婚礼（自我导向），则可能会产生冲突,Tom和Sue是一对热恋中的恋人，即将迎来两人的大喜之日。他们在策划婚礼的问题上产生了分歧。Tom希望婚礼能够遵循传统，而Sue希望婚礼能体现出他们自己的个性。,Tom，一个稳重且深受家庭传统价值观影响的人,根据传统习俗，认为他们应该在教堂举行婚礼，并邀请亲朋好友来一起见证他们的婚姻。,Sue，一个独立思考，喜欢追求自我和新奇的女性,想要一场独特的婚礼，希望他们能在海滩上举行婚礼，并只邀请最亲近的朋友参加。,恋人,3,10,
