domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
娱乐/消遣,电影选择,刺激,安全,如果一个人热衷于观看刺激的动作片或恐怖电影，这可能与他对生活和谐、稳定的追求（安全）产生冲突，毕竟这些类型的电影可能会带来紧张和恐惧的情绪,一个周末的晚上，夫妻两人想要在家里看一部电影度过这个闲暇的时间。然而，他们在选择电影的类型时产生了分歧，因为他们的喜好截然不同。男方热衷于刺激的动作片或恐怖电影，而女方则更偏爱轻松、和谐的剧情片。,Bob，一个热衷于刺激、富有冒险精神的年轻人。他热爱观看动作片和恐怖电影，尤其是那些带有大量刺激情节的电影,坚持选择一部新上映的恐怖片，认为这样的夜晚才足够刺激和有趣。,Alice，一个注重生活质量和家庭和谐的女性。她喜欢看那些轻松、温馨的剧情片，尤其是关于家庭、爱情的影片,建议选择一部温馨的家庭剧，认为这样可以保持家庭的安宁和谐，而不会因为看过于刺激的电影而感到不安或恐惧。,夫妻,3,1
娱乐/消遣,电影选择,享乐主义,遵从,如果一个人喜欢观看难度较低，容易理解和享受的电影（享乐主义），这可能与他尊重并服从其他人（例如朋友或家人）对他应该观看更深层次、有挑战性的电影的期待（遵从）产生冲突,周末的傍晚，两夫妻决定在晚餐后看一部电影来放松放松，这是他们一直以来的习惯。然而，当挑选电影的问题摆在面前时，分歧就出现了。丈夫喜欢看一些轻松、喜剧性质的电影，用来放松心情，享受生活。而妻子则希望看一些深度、启发心智的片子，以此来满足她希望和丈夫共同成长，提升自身思考能力的期待。,丈夫，名叫Mike，是一个在繁忙工作中寻找乐趣的人，喜欢在自由时间享受生活的小乐趣,决定选择一部评分较高的喜剧片，如《疯狂的石头》这样的电影，认为电影就应该给人带来轻松和乐趣。,妻子，名叫Susan，是一位认真的教师，她认为每一次的活动，包括看电影，都是自我提升，获取新知识的机会,希望选择一部对生活有深度思考的电影，比如奥斯卡获奖影片《幸福绿皮书》等，认为看这样的电影能够帮助他们获得更多的人生感悟。,夫妻,3,2
娱乐/消遣,电影选择,自我导向,传统,如果一个人更喜欢观看新颖、独特的电影并探索不同的类型和主题（自我导向），这可能与他对保留传统的电影观看习惯（例如总是观看主流的好莱坞大片或家庭喜剧）的尊重（传统）产生冲突,今晚电影院上映了一部新的科幻电影和一部老电影的经典重映，杰克和艾米需要做出决定，是去看新的科幻电影还是看经典老电影的重映。他们的目的是共享一个愉快的电影之夜，然而他们在选择看哪部电影时出现了分歧。,杰克。杰克是一个爱好新颖，寻求刺激的人，他喜欢尝试新事物，对科技有强烈的兴趣,选择去看新的科幻电影，喜欢尝试新事物，并期待新的科幻电影带来刺激和新颖的视觉体验。,艾米。艾米是一个喜欢守旧，尊重传统的人，她喜欢经典的电影，因为她觉得老电影有更深的内涵和经典的剧情,选择去看经典老电影的重映，认为那部老电影是一个经典，重看一次可以回味那些经典的片段。,夫妻,3,3
娱乐/消遣,电影选择,成就,慈善,如果一个人在选择电影时注重是否能从中学到新知识，或者是否能帮助他在社交环境中展现出洞察力和独特的品味（成就），这可能与他为了陪伴朋友或家人而选择他们喜欢的电影（慈善）产生冲突,朋友们决定一起去电影院看电影，大家正在讨论看什么电影。讨论的目的在于决定一个大家都满意的电影，但是电影选择的分歧出现在Jack和Lily两人之间，他们分别代表了成就和慈善两种价值观。,Jack，一个工作非常出色的商务人士，他总是喜欢选择那些能让他学到新知识或者开阔视野的电影，他希望从中获得灵感，以提升自己在职业上的成就,提议看一部最新的科幻电影，这部电影讲述的是未来的高科技世界，认为这部电影能帮助他获得新知识，对未来有更深的洞察，增加自己的竞争力。,Lily，是一个非常关心朋友的人。她总是把朋友的感受放在第一位，在她看来，和朋友一起看电影的主要目的是增进感情，所以她更倾向于选择那些大家都喜欢的电影,提出看一部热门的喜剧电影，大部分人都会喜欢这部电影，认为这样更能增进大家的感情，让大家有个愉快的娱乐经历。,朋友,3,4
娱乐/消遣,电影选择,权力,大同,如果一个人选择观看描绘权力斗争或社会等级的电影（权力），这可能与他为了更广泛地理解和欣赏不同的人类经验和观点而选择观看多元化和包容性的电影（大同）产生冲突,在一个周末的晚上，全家人打算一起看电影来增进亲情，享受家庭时光。然而，电影的选择却引发了争议。,John，是家庭的主导者，以社会地位和声望为荣，总是坚持自己的看法。他习惯于控制和统治，对他人和资源有着很强的控制欲,推荐观看一部描绘权力斗争和社会等级的电影，比如《权力的游戏》。认为这样的电影更具深度，更能体现电影的艺术价值。,Mary，是John的妻子，富有同情心和理解力，总是尽可能为他人着想。她追求公正，尊重多元化和包容性,建议观看一部展示多元文化，弘扬友爱和理解的电影，例如《当幸福来敲门》。认为电影应该带给人们积极的价值观，鼓励公平和友爱。,夫妻,3,5
娱乐/消遣,音乐节日程安排,安全,刺激,在音乐节日程安排的决策中，如果为了追求新奇和刺激的活动，可能会忽视活动的安全性，比如摇滚音乐节可能会带来较大的噪音和人群安全问题，这就出现了安全与刺激之间的冲突,音乐节即将来临，城市的市民需要决定音乐节的日程安排。音乐节对许多市民来说，无疑是一次享受音乐、放松身心的机会，也是城市的一种文化展现。然而，如何安排音乐节的日程，确保活动能顺利进行，同时又能给参与者带来极致的音乐享受，这就产生了分歧。,艾米，作为城市文化活动部门的安全负责人，她十分专业并对她的工作认真负责。她着重考虑活动的安全问题，确保一切在控制之下，避免出现任何意外,坚持在音乐节日程安排上应该保证安全优先，比如避免在夜晚举行，以防止安全问题，还要考虑活动场地和出入口的设置，甚至对参加音乐节的音乐人有一定的要求，以确保现场的秩序和安全。,杰克，作为一个资深音乐节参与者，他热爱音乐，喜欢感受音乐节带来的狂热和刺激。他希望音乐节能给人们带来最极致的音乐体验，尽情享受音乐的力量,认为音乐节应该追求刺激和狂热，比如安排一些知名的摇滚乐队在夜晚进行演出，把音乐节变成一个不眠之夜，让人们都可以在音乐的海洋中畅游。,同事,3,6
娱乐/消遣,音乐节日程安排,传统,自我导向,某些音乐节可能会选择古典音乐来尊重传统，而其他人可能更偏向于选择自己喜欢的现代音乐，这就产生了传统与自我导向的冲突,音乐节快要举行了，因为去年的音乐节吸引了大量的年轻人，所以主办单位希望能够延续这样的热度。但在日程安排的问题上，一部分人建议以古典音乐为主打，认为这样可以塑造音乐节高雅、经典的形象；另一部分人则建议应该多些流行音乐的表演，可以吸引更多的年轻观众。这就产生了一个问题，到底应该以传统还是当下的流行为主。,Julia，音乐节的执行总监。她曾在不少大型音乐活动中担任过组织者的角色，有着丰富的经验,认为根据音乐节的性质，以及历年来的传统，设计一场古典音乐会会使得音乐节保持其高雅的形象，吸引到喜爱古典音乐的观众，也有利于音乐节的长期发展。,Mike，音乐节的营销总监。他是一位对流行文化非常熟悉的年轻人，常常能够抓住年轻人的喜好，有很强的市场敏感性,"认为虽然古典音乐会有其独特的魅力,但依然坚持自己的想法，因为音乐节的主要客群是年轻人,所以音乐节的日程应以流行音乐为主，这样才能最大地吸引年轻人来参加。",同事,3,7
娱乐/消遣,音乐节日程安排,遵从,享乐主义,在某些传统的音乐节中，个人可能需要遵循严格的礼仪规则，而这与追求个人的快乐和感官满足（如自由舞动和大声欢唱）可能产生冲突，这是遵从与享乐主义之间的冲突,顶尖音乐节即将到来，这是一个每年都会吸引大量音乐爱好者的盛大活动。今年的音乐节有一项新的变动，由于场馆预算的压缩，组委会决定将部分场馆用于商业赞助活动，这将会占用部分音乐节的时间，使得听众观赏演出的时间受到影响。这一决策引起了两种截然不同的看法。,约翰。约翰是一个传统的音乐爱好者，他每年都会参加音乐节，他对音乐节有着深深的热爱并遵从音乐节的传统精神,认为音乐节的价值就在于能够让人们欣赏到纯粹的音乐，如果占用音乐节的时间来进行商业活动，将失去音乐节的初衷。认为应该遵循原来的日程安排，将全部的时间都用于音乐表演。,莉莉。莉莉是一个开放的音乐爱好者，她热爱音乐，同时也热爱生活，喜欢尝试新鲜事物,认为引入商业活动可以为音乐节带来更多的资源和更大的影响力，同时也可以使音乐节更加丰富多彩。 认为应该尝试新的日程安排，既可以欣赏到音乐，又可以享受到商业活动带来的乐趣。,夫妻,3,8
娱乐/消遣,音乐节日程安排,成就,慈善,在音乐节的组织过程中，组织者可能更注重音乐节的成功举办（例如吸引更多的观众，获取更多的收益），而忽视对社区或公众的慈善贡献，如免费公益演出，这就产生了成就与慈善的冲突,一年一度的本地音乐节将在下个月举行。许多知名音乐家将被邀请参演，而乐队和独唱演唱者们也纷纷申请参与。音乐节的日程安排正面临着决策，目标是吸引更多观众前往并获得盈利，同时也希望能回馈社区，进行公益演出。两位负责人在如何安排日程上产生了不同意见。,约瑟夫，他是一位富有经验的活动组织者，对成功举办音乐节充满热情，并且深知如何通过策略性地安排节目和广告来吸引更大的观众,提议将最受欢迎的音乐家安排在最佳时段演出，并通过售票收入来保证音乐节的成功。认为这将带来最佳的观众体验，扩大音乐节的影响力，并最终获得成功。,艾米，她是一位深受社区爱戴的妇女，一直致力于本地的公益活动。她认为音乐是一种强大的团结工具，可以用来回馈社区,提议将一部分时间安排给当地的乐团和歌手，让他们有机会在大舞台上展示自己。此外，还建议设立一天的免费公益演出，让所有社区的居民都有机会享受到音乐节带来的欢乐。,约瑟夫和艾米是音乐节的共同组织者。,3,9
娱乐/消遣,音乐节日程安排,权力,大同,在音乐节的主办方可能倾向于邀请大牌明星以提高自己的社会地位和声望，但这可能会导致票价提高，不利于公众的参与，这就是权力与大同价值观的冲突,本年度城市音乐节即将到来，作为传统的文化盛事，音乐节的策划组正面临着多方面的压力和选择。主办方希望邀请几位国际知名歌手作为助阵嘉宾，以提高音乐节的知名度和影响力，但这一决策可能导致票价飙升，对于大众的参与造成不利影响。如何平衡这两者，成为了一个重要的决策关头。,约瑟夫，音乐节的策划组主席。他是个有独到见解且敢于冒险的人，对音乐有深厚的热爱，并且有丰富的娱乐行业经验。他总是想要通过大胆的举措来提升音乐节的知名度，并且深信高水准的艺人引入会带来更多的关注和收益。他的价值观更倾向于权力。,约瑟夫决定邀请几位国际知名歌手来参加音乐节，以提高音乐节的声望和影响力，虽然这可能会抬高票价，但他认为这是必要的牺牲。,克莱尔，音乐节策划组中的一员，也是一位资深的音乐爱好者。她次次主张要尽可能让更多的人能够接触到音乐及其所带来的快乐，因此，她更加关注音乐节能够带给大众的福祉。克莱尔的价值观更倾向于大同。,克莱尔建议，虽然邀请国际知名歌手可以提升音乐节的声望，但是如果因此引发的高昂票价阻碍了大部分人参与，那也就违背了音乐节的初衷。她主张应该邀请更多当地和新兴的艺人，既能降低成本，也有利于音乐的普及和推广。,同事,3,10
