domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
教育/培训/学校/校园,课程选择,成就,享乐主义,学生在选择课程时，可能会面临这样的冲突，一方面，他们可能选择难度较高，能提高学术成绩和能力的课程来追求成就感；另一方面，他们可能想选择较为轻松、有趣，能给予他们快乐和享受的课程,这是一个大学新生选课的场景。新学期即将开始，所有学生需要在网上选择他们的课程。选课的目的是在满足学位要求的前提下，帮助学生扩大知识面和提升技能。然而，关于如何选择课程，有很大的分歧。一些学生希望能选择难度较大，有挑战性的课程，为将来的职业生涯打基础；而另一些学生想要选择一些轻松有趣的课程，使大学生活更加愉快。,Tom，一个思考深沉的新生。他总是认真对待每一件事，有很强的责任感和进取心。他总是寻求表现优秀，并渴望通过自己的努力来达到成功,决定选择一些难度较大，有挑战性的课程，比如典型的STEM课程如计算机科学和先进的数学课程，认为这些课程能帮助自己在未来的职业生涯中站在优势。,Jey，一个充满活力的新生。他热爱生活，总是追求快乐和享受。他认为大学是人生的一段重要时期，应该是充满乐趣和探索的,决定选择一些轻松有趣的课程，比如音乐、艺术、电影欣赏等等。认为这些课程能带给自己快乐，让自己在大学期间有一个愉快的体验。,同学,1,1
教育/培训/学校/校园,课程选择,自我导向,遵从,一部分学生可能更倾向于自我选择和探索自己感兴趣的课程，希望通过自我导向来发掘自己的潜力和兴趣；而另一部分学生可能选择遵从父母或老师的意愿，选择他们认为更为实用或有利于未来发展的课程,大学新学期即将开始，学生们需要为自己选择新学期的选修课程。选择课程的目的旨在培养自己的兴趣，提高自己的专业技能，或者是满足毕业的学分要求。在这个决策过程中，有两类不同的选择倾向，一种是根据自己的兴趣选择课程，另一种是听从父母或老师的建议选择课程。,杰克，他是一个在读的大学生，他拥有强烈的好奇心和独立思考的能力，他始终坚信自己应该在课程选择这个问题上应该拥有足够的自由，去探索自己的兴趣，发现自己的潜力,决定选修摄影课程，因为自己一直对摄影有着浓厚的兴趣，尽管这门课程与自己的专业课程关联不大。,艾米，她是杰克的好朋友，是一个善良和尊敬父母和老师的女孩。她对于课程选择十分谨慎，经常会听取父母和老师的意见，尽管她自己也有自己的兴趣和想法,决定选修经济学课程，尽管对经济学并没有太多兴趣，但父母认为经济学是一门实用的技能，将会对自己的未来发展有着重要的影响。,朋友,1,2
教育/培训/学校/校园,课程选择,刺激,安全,在选择课程时，有些学生可能喜欢追求新奇，寻找挑战，选择一些具有探索性和挑战性的课程；而有些学生则更倾向于安全，他们可能更喜欢选择那些他们已经熟悉或者看似稳定、前途明确的课程,对于即将到来的新学期，大学生Mike和Sarah面对着一系列课程的选择问题。他们都是计算机科学专业的学生，同时也是夫妻。在即将到来的新学期里，他们需要选择一些课程来满足学分要求。他们在选课目标上有共识：选择能够帮助他们技能提升，对未来职业有帮助的课程。然而，对于如何选择课程的方式和标准，他们有着截然不同的观点。,Mike，一个充满好奇心，喜欢冒险和挑战的男生。他总是愿意尝试新的事物，接受新的挑战,决定选择一些全新的，领先行业的课程，比如人工智能，区块链技术等。认为这些新兴领域将是未来的趋势，会带来更多的机会。,Sarah，一个细心，稳重的女生，喜欢遵从既定的规则和路径。她相信安稳和踏实的生活方式，选择保守且稳定的课程,选择一些基础且主流的课程，比如高级编程，数据库管理，网络安全等。认为掌握这些基础知识是成功的关键，而且这些领域的就业前景也非常稳定。,夫妻,1,3
教育/培训/学校/校园,课程选择,权力,慈善,有一些学生可能选择那些有助于他们在未来获得更高社会地位和声望的课程，追求权力；而有些学生可能更看重的是为他人的福利做贡献，他们可能会选择那些能让他们在未来帮助他人，例如医学、教育等领域的课程,高中毕业即将进入大学，两位表现优异的学生在选择未来的专业课程时产生了分歧。他们都收到了多所顶尖大学的录取通知书，且这些学校提供了多种他们都感兴趣的课程。然而，他们的未来职业规划和对于这些课程可能带来的影响有着不同的看法。,Alex，是个极其有抱负的学生，目标是成为一名成功的企业家。他热衷于学习那些可以帮助他在商业世界取得成功的课程。他对金融、经济和管理类课程特别感兴趣。他希望有朝一日能够运用在大学学到的知识，在商界达成自身的目标,选择商业管理类课程，认为这将为自己未来的企业家生涯打下坚实的基础。,Sophia，是一个对于帮助他人和社区贡献自己的能力非常热情的学生。她对那些能够让她了解和解决社会问题的课程特别感兴趣。她相信通过学习医学、心理学或者社会学，她可以找到一种能够用知识服务社区的方式,选择心理学课程，希望能够通过学习心理学来帮助那些正在经历困难的人们。,同学,1,4
教育/培训/学校/校园,教材选择,传统,自我导向,在选择教材时，可能会面临是否应该遵循教育部门或学科传统推荐的教材（传统），还是应允许教师根据他们的专业判断和独特的教学风格选择教材（自我导向）,科维斯城市的一所中学正在决定下一学期的英语教材。学校需要在坚持使用被认可并广泛应用的传统教材和尝试新的更具创新性的教材之间做出选择。决策的目的是为了提供更优质的教育资源，提高学生的英语水平。但这个决策引发了老师们之间的激烈讨论。,玛丽。玛丽是一名经验丰富的英语老师，她坚信传统教育方法的有效性，并认为应该保持使用长期以来效果良好的传统教材,决定支持继续使用传统的英语教材，认为这些教材的内容经过时间的考验，已经被证明是有用且有效的。,汤姆。汤姆是一名年轻的英语老师，他富有创新精神，相信新的教学方法能够激发学生的积极性，他主张对教材进行更新和改革,提出采用全新的，更具创新性的教材，认为新的教材可以更好地契合当前的教育需求，能够提高学生的学习积极性。,同事,3,5
教育/培训/学校/校园,教材选择,成就,大同,如果一本教材被认为能够提高学生的考试分数或学术成绩（成就），但其内容可能过于重视个人主义，忽视了对社会和环境福祉的理解和尊重（大同），那么在选择这本教材时，成就与大同这两种价值观就可能出现冲突,一所公立中学正在挑选新学期的英语教材。学校的目标是找到一本能够提高学生们的英语成绩的教材，但同时也希望教材能够培养学生的全球视野和社会责任感。然而，在面对一本强调标准化考试技巧，专注于提升学生应试能力的教材和一本注重全球议题、环保意识、多元文化理解的教材时，教材选择的决定引发了分歧。,Mr.Jones，一位严谨的英语科主任，他非常注重学生的考试成绩，并坚信好的考试成绩是学生未来成功的关键,倾向于选择强调标准化考试技巧的教材，认为这本教材能够有效提高学生的英语成绩，并为他们未来的学术生涯打下坚实的基础。,Ms.Green，一位热衷于全球教育的语言学教师，她承认考试成绩的重要性，但更看重培养学生的全球视野和社会责任感,倾向于选择注重全球议题、环保意识、多元文化理解的教材，认为这本教材能够培养学生的全球视野和社会责任感，使他们成为更有社会责任感的公民。,同事,3,6
教育/培训/学校/校园,教材选择,享乐主义,遵从,有些教材可能被认为更加有趣，能吸引学生的注意力并提高他们的学习兴趣（享乐主义），但这可能需要打破常规的教学方式，可能违背了教育系统的一些规定或期待（遵从）,一所初级中学面临着一个重要决策：选择新的教材。新的教材独特、富有创新，注重提高学生的学习兴趣，让学习过程变得有趣。然而，这个教材并没有经过教育主管部门的批准，并且与学校传统的教育方式有所冲突。,Jake，一个热情、开放，富有创新精神的英语老师。他总是寻找新的方法，尝试让他的课堂更加有趣和吸引人。他相信，让学生在快乐中学习，能够激发他们的学习兴趣和热情,坚决推荐新的教材。认为虽然这个教材没有获得教育主管部门的批准，但这并不能掩盖它的优点。相信只有让学习过程变得有趣，才能吸引学生去主动学习。,Helen，一名严谨、遵循规则的学校行政管理人员。她一直致力于维护学校的秩序和规定，严格按照教育主管部门的要求来执行。她相信，规则和秩序的存在是为了确保教育的质量和公平性,反对使用这个新的教材。认为无论这个教材有多么的好，只要它没有获得教育主管部门的批准，就不能在学校中使用。坚信遵守规定和要求是最重要的,同事,3,7
教育/培训/学校/校园,教材选择,权力,慈善,在教材选择时，教育管理者可能希望选择能够展示他们权威和影响力的教材（权力），而教师和学生可能更倾向于选择对他们的学习有实际帮助的教材（慈善）,今年是小镇中学即将启用新的教材的一年，学校课程委员会需要在两套教材中做出选择。一套是由著名的教育机构出版的，拥有丰富的配套资源和全国性的认知度，另一套则是由小镇本地的教师团队自主编写，更加贴近本地的教育环境和学生的实际需要。选择的目的是期望通过合适的教材提高教学质量和学生的学习效果。然而，对于哪套教材更为合适，校长和一名教师产生了不同的观点。,John，小镇中学的校长。他是一名有抱负的领导者，希望可以通过引入有公认影响力的教育资源提高学校的声望,决定选择由著名的教育机构出版的教材，认为这样可以提高学校的权威性和社会地位。,Mary，小镇中学的一名资深教师。她非常关心学生的学习，希望教材能够真正帮助学生学习。她非常了解本地的学生和教育环境，致力于激发学生的学习兴趣和提高学习效果,主张选择本地教师团队编写的教材，认为这套教材更贴近学生的实际需求，并且可以直接为学生的学习带来实际的帮助。,上下级,3,8
教育/培训/学校/校园,课后活动计划,自我导向,遵从,学生可能想要独立选择他们感兴趣的课后活动，例如艺术或音乐（自我导向），但他们同样需要遵从家长或老师的意愿，参加例如补习或辅导类的课外活动（遵从）,在某个小学，学校计划开展新的课外活动项目，目的在于促进学生的全面发展，提供更多的选择，使他们在课后时间能有更多的机会发展各种技能和兴趣。然而课后活动计划的决策过程中产生了分歧，学生希望选择自己感兴趣的活动，例如绘画、音乐等，而家长更希望孩子参加一些能提升学习成绩的课后辅导课程，例如数学或英语课程。,李小明，一名活泼好动的小学生，他擅长画画并且对音乐充满热爱。他有着独立思考和选择自己道路的价值观：自我导向。,在听到课后活动计划的消息后，希望能参加绘画和音乐课程，这样自己能在喜欢的事情上花费更多的时间，同时提升自己在这方面的技能。,李妈妈，李小明的母亲，她非常关心李小明的学习成绩，希望他能在学校有好的表现。李妈妈的价值观偏向于遵从社会和学校的期待。,希望李小明能参加课后的数学和英语辅导课程，认为这样能有助于李小明提升学习成绩，更好地适应学校生活和社会的期待。,母子,3,9
教育/培训/学校/校园,课后活动计划,享乐主义,成就,学生可能想要参与一些能带来快乐和感官满足的课后活动，比如玩游戏或看电影（享乐主义），但这可能会与他们需要投入时间和精力以在学术或者体育活动中取得成功（成就）的目标相冲突,在一个知名的中学里，校方计划重新安排课后活动计划，以提升学生们的全面能力。然而，新的课后活动计划在学生中引发了热烈讨论，主要的分歧点在于活动的内容和形式。,Tom，是一个性格开朗的学生，喜欢轻松的学习氛围，崇尚自由，喜欢在课后参与一些轻松有趣的活动，如看电影、玩游戏等，对于学习有一种“只要快乐就好”的态度,希望课后时间可以用来放松，主张课后活动应该以娱乐为主，如观看电影、进行户外游戏等，对于过于严肃或具有竞争性质的活动，自己并不太感兴趣。,Jey，是一个充满竞争精神的学生，他认为学习是生活的重心，课后活动应该继续为他的学业或者生涯做铺垫。他活泼好动，喜欢挑战和竞争，他认为成功的感觉是最充实的,主张课后活动应该以提升个人能力和追求卓越为主，如参加学术研讨、组织辩论赛等，认为这样有助于自己的学习和未来的人生规划。,同学,1,10
