domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
工作/就业/职场,职位选择,成就,大同,一个人可能在选择职位时，面临必须在追求个人成就（例如，选择一个有利于自身发展，有挑战性的职位）与关心社会大同（例如，选择一个能为社会和环境带来更大贡献的职位）之间做出选择,位于湾区的一家初创公司正寻找一位首席技术官来帮助他们开发一款前沿的人工智能产品。他们希望能找到一位经验丰富且有强烈创新精神的专业人士来带领团队。同时，一个知名的非营利组织也正在寻找一位有技术背景的顾问，来帮助他们解决一些技术问题，以便更好地实现他们的社会使命。两个机会都非常吸引人，但具体选择哪一个取决于候选人的价值观。,西蒙，一位经验丰富的软件工程师，对新技术具有深厚的兴趣，总是在追求技术的最新发展，希望自己能在技术领域取得更大的成就,选择初创公司的首席技术官职位，认为这个职位能让自己充分发挥自己的技术才能，并且有更多机会去开发前沿的产品，带领团队取得成功，实现自己的职业追求，这对自己来说是一种成就。,艾米，同样是一位经验丰富的软件工程师，但她更关注技术如何被用来改善社会，帮助那些需要帮助的人。艾米对于如何让技术更加"亲民"有自己的见解,选择非营利组织的技术顾问职位，认为这个职位能帮助自己实现个人的社会使命，能够使用自己的技术知识为社会带来更大的价值。,同事,1,1
工作/就业/职场,职位选择,权力,慈善,选择一个职位可能会涉及到权力与慈善的冲突,咨询公司即将开启一个新的项目，需要选出一位负责人来带领整个项目，项目描述为帮助一个偏远地区的学校改善教育环境。项目的成功不仅能带来公司声誉的提升，还能为负责人带来显著的职位和薪酬提升。公司内部有两位候选人：杰里米和苏珊。,杰里米，杰里米是一个充满野心的人，一直以来他都渴望能在公司中获得更高的地位和声望,选择承担这个项目，希望通过这个项目提升自己在公司中的地位和声望，相信成功的完成这个项目可以证明自己的能力，从而在未来的职位竞争中获得优势。,苏珊，苏珊是一个十分慈善的人，她始终将帮助他人和提升社区福祉看作自己的目标,选择承担这个项目，希望能通过这个项目真正帮助那个偏远地区的学校改善教育环境，给那里的孩子带来更好的学习条件。并不在乎这个项目能带来的职位和薪酬提升。,竞争对手,3,2
工作/就业/职场,职位选择,传统,刺激,在做出职位选择时，可能需要在遵循传统（例如，选择一个符合自己文化或宗教观念的职位）与追求刺激（例如，选择一个挑战性大、充满新奇的职位）之间做出权衡,甲公司是一个传统的、历史悠久的公司，近期发布了一个稳定的会计职位，同时乙科技，是一个新兴的、颠覆性的初创公司，也发布了一个前沿的数据科学家职位。两个职位的薪资待遇相当，现在有两个应届毕业生，面临着职位选择的决策。,汤姆，他是一个尊重传统，遵循规则的人，他来自一个熟悉传统行业的家庭，父母都是会计师,选择甲公司的会计职位，因为这个职位更符合自己的价值观，以及自己的家庭背景和教育让自己更愿意在传统领域发展。,杰瑞，他是一个充满好奇心，寻求挑战和刺激的人，他喜欢探索新领域，对数据科学充满了热情,选择乙科技的数据科学家职位，因为这个职位更能满足自己对新鲜事物的追求，对自己来说，挑战和创新是他职业生涯的主导。,同学。,1,3
工作/就业/职场,职位选择,享乐主义,遵从,一个人可能会在追求个人的快乐、感官满足（例如，选择一个舒适、符合自己兴趣的职位）与遵从社会期望、行为规范（例如，选择一个符合父母期望或社会认可的职位）之间做出选择,大学毕业的艾米和她的朋友莎拉面临一个重要的决定：选择自己的职业道路。艾米和莎拉都在艺术专业毕业，他们渴望能够找到一个符合自己兴趣爱好，能够发挥自己专业技能的工作。然而，市场上的大部分工作都和他们的专业不太匹配，大多数工作要求他们放弃自我，按照公司的标准工作。这就是他们面临的分歧：是选择一个符合自己兴趣且可以享受工作的职业，还是选择一个保障稳定收入且被社会广泛接受的职业。,艾米，她是一个充满激情和活力的女孩，对传统的冷静世界充满反叛情绪，希望能够通过自己的努力创造属于自己的世界,决定追随自己的兴趣，成为一名自由插画师，尽管这个决定带来的收入可能没有稳定工作那么稳定，但她可以做自己热爱的事情，享受工作带来的乐趣。,莎拉，她是一个比较保守和稳重的女孩，对未来充满了规划。她非常尊重父母和社会对她的期待，愿意按照他们的路线去选择自己的生活,尽管对艺术有着深深的热爱，但会选择一个具有稳定收入、被社会承认和接受的公务员职位，愿意承受乏味的日常工作，为了满足父母和社会对自己的期待。,朋友,1,4
工作/就业/职场,职位选择,安全,自我导向,在选择职位时，可能需要在追求稳定（例如，选择一个稳定性高，风险低的职位）与追求自我导向（例如，选择一个能充分发挥个人主观能动性，有更多自由选择和创新的职位）之间做出抉择,一家知名的企业正在招聘一个员工负责刚刚开发出的新产品的市场推广。这个职位有着较高的挑战性，需要员工有创新和冒险的勇气。同时，公司还提供了另一个职位:负责已有产品的市场维护，这个职位相对稳定，工作难度较小，但是发展空间有限。两个角色面临选择这两个职位的决策。,Tom，一个刚从大学毕业的年轻人，对于自己的工作生涯有着稳定和有保障的期望,在选择职位时，更倾向于选择负责已有产品的市场维护的职位，虽然发展空间有限，但能确保自己有稳定的收入和较小的工作压力。,Jerry，Tom的大学同学，是一个向往自由和创新的年轻人，对于自我实现有着极高的追求,更倾向于选择负责新产品的市场推广的职位，愿意接受挑战，并且认为这个职位能给自己更多的自由和创新的空间。,RR。Tom和Jerry是大学同学，两人性格和兴趣爱好不同，分别代表了安全和自我导向两种不同的价值观。,1,5
工作/就业/职场,技能提升,成就,大同,在技能提升的过程中，个人可能会为了追求成就和成功，例如获得晋升或获取更高的社会地位，而过于关注自身的利益，忽视了为了全体人类和自然的福祉的大同价值观,一家科技公司是在推行一项新的人工智能项目，希望可以使用这项技术来开发新的产品。然而，实施该项目需要员工进行深入的技能培训，以了解和掌握AI的相关知识。决策的目的是确定公司是否要花费大量时间和资源进行技能提升，以使员工能够胜任这个新的项目。决策的分歧在于，一方面，员工可以通过学习新技术提升自己的技能，提升公司的竞争力，从而提高他们的工作成就感。另一方面，该项目可能对环境造成潜在的负面影响，且过度的技能追求可能会导致员工过度工作，给员工的生活带来不必要的压力。,杰克，他是公司的项目经理，他富有野心，追求成功和成就，希望通过这个项目推动公司的发展并提升自己的职业地位,决定推动实施新的人工智能项目，并投入大量的时间和资源进行员工的技能提升，以实现项目的成功和个人的职业成就。,艾玛，她是公司的环境安全官员，关注环保，以关心全体人类和自然的福祉为主要目标,建议公司暂缓该项目的推进，反对为了追求技术和经济的提升而忽视环境的潜在影响。同时，也关注过度技能追求可能导致员工的生活压力增加，提议公司平衡员工的工作和生活。,同事,3,6
工作/就业/职场,技能提升,自我导向,遵从,在技能提升的过程中，自我导向的人可能更看重自我实现，追求创新和独立思考，而这可能与遵从规则、遵守公司政策和流程的价值观产生冲突,在一家大型软件公司，出现了一个重要的项目，需要员工有强大的编程和项目管理能力。公司决定对员工进行技能提升培训，分为两个方向，一是学习最新的编程语言，二是学习项目管理的知识和技巧。决策要达到的目的是提升员工的职业技能，以便完成这个重要的项目。员工们在选择两种培训中的哪一种时出现了分歧。,Bob，他是一名资深的软件工程师，喜欢追求新的技术和创新,选择学习最新的编程语言，认为这样可以提高自己的技术水平，更喜欢面对新的挑战。,Alice，她也是公司的一名工程师，对团队的整体运作有自己的理解和洞察,选择学习项目管理的知识和技巧，认为这样能更好地适应公司的整体需要和项目的要求。,同事,1,7
工作/就业/职场,技能提升,享乐主义,安全,在技能提升的过程中，追求享乐主义的人可能更倾向于享受生活、追求个人的快乐和满足感，这可能与追求稳定工作、确保个人和职业安全的价值观产生冲突,在一家著名的互联网公司工作的两个同事和他们面临着一个需要决策的问题：公司提供了一个机会，可以参加一项为期半年的技能提升培训，培训在国外举行，完成后将对职位晋升有重要帮助。但在此期间，他们需要离开现有的工作岗位，而培训结束后是否能回到原岗位、或者是否能成功晋升都存在一定不确定性。,年轻有活力，工作两年，非常享受当前的工作和生活，业余时间热衷新鲜事物，喜爱旅游,认为参加这个培训是一次难得的机会，自己可以去国外旅游，接触到新的文化和技术，这对个人成长有很大的帮助，即使存在一定的风险，自己也愿意接受。,稳重老练，已在公司工作过五年，现在担任重要的研发职位，对现状很满意，希望能保持稳定,认为虽然这个机会很诱人，但是离开现有的岗位对自己的工作带来太大的不确定性，更希望可以在现有的岗位上稳步提升自己的技能。,同事,1,8
工作/就业/职场,技能提升,权力,慈善,在技能提升的过程中，追求权力的人可能更看重社会声望和对资源的控制，而这可能与维护和提高熟人福利的慈善价值观产生冲突,在一家高科技公司中，为了应对日益激烈的市场竞争，公司决定引入AI技术以提高生产效率，因此需要从公司内部选拔优秀的员工进行AI技术的培训，以构建一个专门的AI团队。由于资源有限，只能选拔10名员工进行培训。这个决策涉及到谁可以获得培训机会，需要平衡提升个人能力与特长，利益最大化以及照顾团队同事之间的关系。,George，公司的一位高级经理，有着丰富的职场经验并且极其追求个人权力和影响力的提升,认为应该选择那些在职位上拥有一定影响力并且具有潜力的员工进行培训，理由是他们在公司有着较大的影响力，他们的提升会进一步提高他们对公司资源的控制以及他们的社会声望。,Lily，公司的一位人事部门经理，对员工的福利和发展非常关心,认为应该选择那些平时工作努力但是又缺少培训机会的员工进行培训，这样可以加强他们的职业技能，提高他们的工作满意度，有利于整个团队的和谐。,同事,3,9
工作/就业/职场,技能提升,刺激,传统,在技能提升的过程中，追求刺激的人可能更愿意接受新的挑战和变化，而这可能与尊重和接受传统的价值观产生冲突,在一个IT公司，IT部门正在面临一个关于技能提升的决策问题。公司CEO想要让团队学习一个全新的编程语言Python以推动公司的发展，他认为这种语言更适应未来的发展，并能帮助公司在市场上有更好的竞争力，随之带来的技术挑战和市场竞争将为公司带来新的刺激与机遇。但是，有些员工认为应该继续深化他们的Java语言技能，他们认为深入学习并专精于一门语言是最有效的提升途径，这符合他们一贯的工作方式并设置了他们的职业发展路线。,Tom，一个富有冒险精神的年轻程序员，对新的事物总是充满好奇。Tom善于接受新事物，并以克服新挑战为乐,决定学习Python，认为这将为自己的职业生涯增添新的乐趣和挑战，也可能为自己带来更好的职业发展机会。,Linda，一个有多年Java编程经验的资深程序员，她习惯利用现有的技能和知识解决问题。Linda信奉熟能生巧，认为只有深耕一门技术才能达到卓越,决定更深入地学习Java，认为传统的学习方式更符合自己的职业发展规划，同时认为深入学习一门语言能让自己的技能更加深厚、更有专业精神。,同事,1,10
